          UTC               x(km)        y(km)        z(km)        Ra(deg)      Dec(deg)   Dis(km)   Ra_std(")  Dec_std(") Dis_std(km)    
2022-05-24T08:38:26.000   -5134.91905  -2288.11075   4122.13631    207.82969    33.86349  1443.00706   10.114       7.166    0.86
2022-05-24T08:38:27.000   -5139.47512  -2288.69644   4116.12880    207.59520    34.16916  1442.54004    8.017       7.421    0.95
2022-05-24T08:38:28.000   -5144.02481  -2289.27845   4110.11741    207.35349    34.47350  1442.12587   10.219       8.984    1.05
2022-05-24T08:38:29.000   -5148.56918  -2289.85786   4104.10022    207.11862    34.78188  1441.73768    7.231       3.044    1.00
2022-05-24T08:38:30.000   -5153.10675  -2290.43448   4098.07917    206.88064    35.08769  1441.44423    6.208       6.647    0.85
2022-05-24T08:38:31.000   -5157.63827  -2291.00841   4092.05329    206.64003    35.39207  1441.22319    6.116       8.238    1.07
2022-05-24T08:38:32.000   -5162.16371  -2291.57964   4086.02260    206.39395    35.69763  1441.01189    3.657       3.298    0.92
2022-05-24T08:38:33.000   -5166.68268  -2292.14909   4079.98710    206.14890    36.00278  1440.90831    7.973       7.122    0.99
2022-05-24T08:38:34.000   -5171.19670  -2292.71502   4073.94583    205.90236    36.30668  1440.83543    8.176       5.233    0.79
2022-05-24T08:38:35.000   -5175.70391  -2293.27817   4067.90074    205.65002    36.60753  1440.83607    9.275       6.029    1.08
2022-05-24T08:38:36.000   -5180.20502  -2293.83862   4061.85086    205.39829    36.91071  1440.90574    5.194       3.602    1.16
2022-05-24T08:38:37.000   -5184.70004  -2294.39638   4055.79621    205.14840    37.21312  1441.01414    9.523       7.563    1.00
2022-05-24T08:38:38.000   -5189.18856  -2294.95234   4049.73678    204.88981    37.51540  1441.20457    7.530       7.661    0.97
2022-05-24T08:38:39.000   -5193.67282  -2295.50488   4043.67063    204.63233    37.81412  1441.43307    7.531       4.715    0.90
2022-05-24T08:38:40.000   -5198.14952  -2296.05454   4037.60168    204.37524    38.11531  1441.75211   10.095       9.046    1.01
2022-05-24T08:38:41.000   -5202.62010  -2296.60150   4031.52797    204.11493    38.41548  1442.10462    8.338       7.796    0.95
2022-05-24T08:38:42.000   -5207.08457  -2297.14575   4025.44952    203.84690    38.71573  1442.51706    6.594       7.895    1.07
2022-05-24T08:38:43.000   -5211.54250  -2297.68822   4019.36634    203.58355    39.01138  1443.01723   10.007       7.548    1.06
